AnimalID,Age,Nutrients,Animal,Exp,t h a1,t h t1,t h t2,t h i,h h a1,h h t1,h h t2,h h i,t bwm a1,t bwm t1,t bwm t2,t bwm i,h bwm a1,h bwm t1,h bwm t2,h bwm i,pm a1,pm t1,pm t2,pm i,g a1,g t1,g t2,g i
CMFLIM12 Day5 DR Animal3,5,DR,3,CMFLIM12,0.628487127,0.6571625,3.007596,12800.75276,0.656716208,0.614928,2.9329145,8639.622818,0.732667815,0.63406,2.8132445,6132.725947,0.74278766,0.6246405,2.694847,4748.111029,0.712279182,0.5526865,2.3939975,5812.78353,0.660603819,0.6141205,2.857942,3741.760081
CMFLIM10 Day5 DR Animal4,5,DR,4,CMFLIM10,0.629274977,0.595359,2.800689,2763.236854,0.620631257,0.602936,2.943319,1745.848843,0.712318842,0.588743,2.819429,2581.877832,0.746007354,0.638794,3.190845,1688.420387,0.721266133,0.631572,2.8386875,2970.502385,0.661620628,0.573039,2.8553735,5027.956426
CMFLIM12 Day5 DR Animal4,5,DR,4,CMFLIM12,0.604730239,0.689294,2.991222,7119.260785,0.658857459,0.591116,2.903253,8855.419383,0.716239699,0.685412,3.3268895,3513.690632,0.743398173,0.601298,2.6130015,6037.034016,0.699753804,0.553003,2.433675,9465.92727,0.668717667,0.6558055,3.0356495,10608.96204
CMFLIM10 Day5 DR Animal5,5,DR,5,CMFLIM10,0.588829068,0.7270225,3.51339,6559.069463,0.651775907,0.6562595,3.2844525,5091.046521,0.669774631,0.6395845,3.3172615,2892.592974,0.729227573,0.638346,3.183362,4236.232582,0.723746298,0.610694,2.9249495,6834.660544,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day5 DR Animal5,5,DR,5,CMFLIM12,0.638805037,0.597599,2.927296,13074.60057,0.645580573,0.600318,2.9284235,6896.737033,0.734123336,0.629088,2.84539,5254.862158,0.714275279,0.677481,2.766055,2775.412036,0.719567262,0.588976,2.4355895,5814.713602,0.678834895,0.6151705,2.925713,5156.941847
CMFLIM10 Day5 DR Animal6,5,DR,6,CMFLIM10,0.588678359,0.6073465,3.2791465,3572.231066,0.578215801,0.565595,3.0515355,4735.704097,0.697155605,0.5998165,3.2464555,3026.418748,0.724912752,0.563192,3.055896,3521.107655,0.733083956,0.6360155,2.903179,6151.66043,0.634430097,0.6128645,3.328721,6410.360667
CMFLIM12 Day5 DR Animal6,5,DR,6,CMFLIM12,0.661070537,0.582484,2.777401,7668.006472,0.691626956,0.5584215,2.748789,16181.13628,0.733947206,0.6151565,2.908476,2852.191483,0.738979755,0.6223605,2.6466225,10522.03671,0.727625965,0.5611215,2.3498285,15530.99862,0.705607177,0.558031,2.7757865,3666.277827
CMFLIM10 Day5 DR Animal7,5,DR,7,CMFLIM10,0.770079984,0.576602,2.8108305,6912.348779,0.594794551,0.63188,3.234862,3289.362294,0.610522431,0.6202975,3.1295375,6039.404296,0.736285084,0.66819,3.1894725,2889.453056,0.721301094,0.68256,3.093085,5194.870173,0.726755207,0.64839,3.144603,4656.127988
CMFLIM12 Day5 DR Animal7,5,DR,7,CMFLIM12,0.656457749,0.788749,3.3861615,5639.383984,0.611387621,0.628333,3.018277,9822.6312,0.729519868,0.686873,3.022017,4690.540215,0.715200396,0.6280765,2.7115125,5147.922691,0.675752695,0.598961,2.472576,9601.288483,0.67106859,0.5955875,2.818465,2401.998799
CMFLIM12 Day5 DR Animal8,5,DR,8,CMFLIM12,#N/A,#N/A,#N/A,#N/A,0.700620731,0.539769,2.8215045,4521.686523,#N/A,#N/A,#N/A,#N/A,0.72015763,0.659422,2.8478875,7517.53115,0.630901488,0.6317815,2.4732195,7408.170394,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day5 DR Animal9,5,DR,9,CMFLIM10,0.632153969,0.635378,3.4137335,10247.55209,0.558078054,0.721825,3.1767165,2692.821677,0.743513512,0.617936,2.9970815,13306.34157,0.710287916,0.5888555,2.734525,6179.03908,0.712803568,0.5855185,2.7504235,4009.853576,0.75718514,0.628366,3.4995005,6087.524662
CMFLIM12 Day5 DR Animal9,5,DR,9,CMFLIM12,0.630273735,0.681627,3.295294,16818.88402,0.675485964,0.645976,3.372515,6572.624995,0.679708372,0.622236,3.152313,8235.301575,0.702028513,0.6442575,2.990193,5394.312921,0.686063527,0.587687,2.89816,3481.007839,0.696576356,0.591913,2.9500625,10723.25726
CMFLIM14 Day7 AL Animal10,7,AL,10,CMFLIM14,0.686900638,0.55892,3.011656,8298.003047,0.725563852,0.510438,2.7082945,3607.226784,0.769926899,0.5551635,2.9435525,4097.297479,0.726716274,0.6414335,2.8465885,4064.240704,0.716982277,0.6050855,2.663576,4641.162069,0.69501702,0.7266365,3.311332,3115.640017
CMFLIM10 Day7 AL Animal1,7,AL,1,CMFLIM10,#N/A,#N/A,#N/A,#N/A,0.710860686,0.5171525,2.7233605,3426.924214,0.759279192,0.5416485,2.697497,9026.722371,0.798386849,0.475951,2.4584085,3211.867174,0.740183568,0.5213955,2.431595,3058.54142,#N/A,#N/A,#N/A,#N/A
CMFLIM14 Day7 AL Animal1,7,AL,1,CMFLIM14,0.647789542,0.5502425,2.8420585,15480.47288,0.46531551,0.651614,3.2570815,2497.481506,0.735114685,0.5897635,2.67467,14278.60666,0.780636141,0.5270795,2.725108,2165.086965,0.68783471,0.483243,2.838322,3829.166484,0.690876772,0.560999,2.9012775,3910.859927
