AnimalID,Age,Nutrients,Animal,Exp,t h a1,t h t1,t h t2,t h i,h h a1,h h t1,h h t2,h h i,t bwm a1,t bwm t1,t bwm t2,t bwm i,h bwm a1,h bwm t1,h bwm t2,h bwm i,pm a1,pm t1,pm t2,pm i,g a1,g t1,g t2,g i
CMFLIM12 Day3 AL Animal7,3,AL,7,CMFLIM12,0.685536891,0.5678245,2.909191,11746.56649,0.66737919,0.5860725,2.848241,6828.986734,0.746442792,0.562556,2.733617,6899.932964,0.754889083,0.534668,2.639445,10912.10953,0.730053999,0.54657,2.6449475,8186.621243,0.669734351,0.569119,2.92362,12032.16757
CMFLIM14 Day3 AL Animal7,3,AL,7,CMFLIM14,0.662043469,0.633448,3.187255,4000.374676,0.686617804,0.576694,2.8648965,3770.474568,0.729732687,0.564971,2.84272,4459.229391,0.738194589,0.6146575,2.7046495,4606.98241,0.712015691,0.5482265,2.523865,5750.974948,0.599413137,0.819281,3.391149,5259.263166
CMFLIM10 Day3 AL Animal8,3,AL,8,CMFLIM10,0.617974376,0.714743,3.414251,9376.454975,0.693389328,0.585635,2.9834015,4394.03794,0.784694075,0.6040525,3.034494,5617.26374,0.723864405,0.582938,2.699365,5515.87823,0.697382663,0.617913,2.5735435,9092.285828,0.666215729,0.6273755,2.9851245,5627.657536
CMFLIM12 Day3 AL Animal8,3,AL,8,CMFLIM12,0.653197339,0.6518615,3.026604,10148.3221,0.661208774,0.610586,3.168127,13945.54849,0.729716382,0.5900935,2.867804,4347.161351,0.754566906,0.5433305,2.754973,16148.1951,0.711977402,0.5860115,2.619708,16342.75943,0.678486421,0.600388,2.957105,8361.462508
CMFLIM14 Day3 AL Animal8,3,AL,8,CMFLIM14,0.665576529,0.6250205,3.0629495,14227.68046,0.664166424,0.589616,3.042095,3855.707097,0.717273112,0.6605825,2.9639915,6924.211177,0.745766836,0.6476565,2.9609605,5380.801864,0.722977541,0.561669,2.574575,7850.092976,0.673914646,0.746774,3.0378465,7224.291103
CMFLIM10 Day3 AL Animal9,3,AL,9,CMFLIM10,0.627186582,0.5622795,2.961421,6327.73292,0.646640019,0.548643,2.8599025,6050.462232,0.60867897,0.5848945,2.865831,2946.56089,0.654952875,0.6468195,2.8890275,5450.701057,0.628035292,0.6710085,2.8237475,9617.430703,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day3 AL Animal9,3,AL,9,CMFLIM12,0.66732638,0.6470155,3.174245,9908.590272,0.665260101,0.630954,3.682247,6796.699599,0.724872065,0.636863,2.9135835,4663.009083,0.753771009,0.6185165,2.9906835,6044.84114,0.717215139,0.596203,2.6692755,8459.665896,#N/A,#N/A,#N/A,#N/A
CMFLIM14 Day3 AL Animal9,3,AL,9,CMFLIM14,0.631830586,0.684856,3.3567375,7966.606696,0.661135776,0.611104,3.051033,6458.700441,0.750855681,0.5344955,2.601071,3941.974401,0.761485068,0.5858465,2.8569455,6388.669872,0.706254544,0.5910695,2.642627,8515.587959,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day3 DR Animal10,3,DR,10,CMFLIM10,0.641239035,0.715533,3.09807,9254.814011,0.632707058,0.619676,2.845136,12746.47761,0.699868631,0.678924,2.9292615,3774.696481,0.768777593,0.561411,2.5934515,8131.871701,0.743362762,0.5204455,2.315994,10648.87921,0.71196234,0.5304415,2.6490895,7006.369288
CMFLIM12 Day3 DR Animal10,3,DR,10,CMFLIM12,0.650365457,0.613558,2.9257015,8399.48514,0.666472726,0.560902,2.877537,9746.049698,0.682302177,0.6028745,2.688466,4292.713682,0.723476661,0.608236,2.6759205,6229.137556,0.689866187,0.60226,2.5514095,6331.891074,0.724558154,0.597241,2.757088,6120.679651
CMFLIM14 Day3 DR Animal10,3,DR,10,CMFLIM14,0.610310882,0.7790855,3.4784535,6894.662916,0.659985274,0.6289225,2.9666285,17471.47268,0.718979893,0.7539905,3.339131,4333.699159,0.687793573,0.5839995,2.7447925,10415.99552,0.704592995,0.6000915,2.508156,16619.87185,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day3 DR Animal1,3,DR,1,CMFLIM10,0.610181274,0.814222,3.3590575,6766.393262,0.662991924,0.5533905,2.78213,12433.94675,0.712845242,0.7159875,3.3326125,2956.037029,0.697362872,0.6047955,2.6026875,7790.975042,0.650600568,0.604373,2.390693,10064.26665,0.660440171,0.5955635,2.9081,4678.05564
CMFLIM12 Day3 DR Animal1,3,DR,1,CMFLIM12,0.667305357,0.6313795,3.016609,6034.180308,0.679847363,0.5354435,2.847131,6195.99588,0.747183971,0.5740765,2.591505,5054.483677,0.739366447,0.6034345,2.681227,5994.913684,0.695073842,0.594802,2.4361825,8105.22551,0.677449724,0.589378,2.9092585,4696.854257
CMFLIM14 Day3 DR Animal1,3,DR,1,CMFLIM14,0.660070082,0.6722025,2.991325,8322.866721,0.679161492,0.569926,2.922007,6584.300043,0.726987094,0.617305,2.7691745,4263.278284,0.723458731,0.648937,2.7419885,3618.616201,0.672392486,0.588977,2.356062,8637.339339,0.712003949,0.6040785,2.714866,7567.868943
CMFLIM10 Day3 DR Animal2,3,DR,2,CMFLIM10,0.63934853,0.6433105,3.034558,6598.078279,0.625775743,0.601973,3.0243695,5222.268992,0.735617644,0.6536495,2.9225575,2701.669922,0.695317959,0.61834,2.676913,2875.641712,0.592462051,0.6478575,2.411523,5781.958465,0.72488584,0.6281415,2.954059,4895.428118
CMFLIM12 Day3 DR Animal2,3,DR,2,CMFLIM12,0.656855707,0.6924145,3.2335225,17577.27872,0.657515494,0.573418,2.8336545,7836.134454,0.735032308,0.716386,3.222723,7604.110315,0.725799588,0.6324645,2.7936715,4527.68657,0.706037568,0.5941895,2.4166085,7691.549063,0.698637603,0.6585545,2.945793,4543.080841
CMFLIM14 Day3 DR Animal2,3,DR,2,CMFLIM14,0.649611645,0.600279,2.941328,8378.669817,0.695295906,0.5661235,2.861376,7234.694395,0.720144742,0.663402,2.888349,4963.951867,0.763815917,0.6712355,2.9232875,5326.288439,0.700492953,0.5795765,2.411108,6214.25063,0.660876953,0.649714,2.917118,16045.3405
CMFLIM10 Day3 DR Animal3,3,DR,3,CMFLIM10,0.624348063,0.5864775,2.9007535,9075.274732,0.682288929,0.5379155,2.8215205,5023.879405,0.68748733,0.632591,2.7212375,5013.342551,0.747703367,0.623637,2.6950215,4974.089791,0.704500879,0.588586,2.3832195,7210.571792,0.756761786,0.567672,2.854264,1564.406638
CMFLIM12 Day3 DR Animal3,3,DR,3,CMFLIM12,0.650748587,0.5876,2.768047,16997.27666,0.654564869,0.5902145,2.9945335,7056.223535,0.719691059,0.5910655,2.679428,6054.665997,0.737515211,0.74104,2.9786145,5728.417422,0.589281088,0.673297,2.330445,9535.471354,0.702230513,0.566341,2.683017,4259.512616
CMFLIM14 Day3 DR Animal3,3,DR,3,CMFLIM14,0.701765826,0.603906,2.90687,8255.449723,0.649977758,0.5846,2.906423,5877.638952,0.785052277,0.6088765,2.8399205,110.1259512,0.729732157,0.660776,2.7755075,5516.0993,0.651287086,0.59204,2.3420325,7451.830435,0.684527365,0.6194275,2.900098,130.3089636
CMFLIM10 Day3 DR Animal4,3,DR,4,CMFLIM10,0.638341745,0.613305,3.058562,11939.44199,0.705471064,0.509528,2.7000865,7194.058763,0.735179231,0.618054,2.7949795,4663.729108,0.749347662,0.621458,2.6369725,4900.276158,0.692018509,0.585827,2.3172825,7996.123391,0.722491737,0.594028,2.771914,5272.613174
CMFLIM12 Day3 DR Animal4,3,DR,4,CMFLIM12,0.677308839,0.5566435,2.8765805,14924.81006,0.708831296,0.526733,3.116908,11749.59262,0.716786555,0.588494,2.6988695,5803.746898,0.746631963,0.629026,2.728128,14040.11403,0.7010379,0.5726595,2.4119155,15602.71924,0.721622675,0.5610395,2.843997,7028.515238
CMFLIM14 Day3 DR Animal4,3,DR,4,CMFLIM14,0.612072697,0.8448,3.574749,5407.868919,0.682974304,0.587591,2.931625,10842.7852,0.748354458,0.5788005,2.6110425,16105.52255,0.703386425,0.6404305,2.7439495,4601.343121,0.736041796,0.587036,2.6532665,7750.498548,0.755859825,0.550238,2.7557175,13219.84417
CMFLIM10 Day3 DR Animal5,3,DR,5,CMFLIM10,0.581687821,0.689808,2.976745,11329.74291,0.606176736,0.6197285,2.7133565,8312.720226,0.730057368,0.6147885,2.9663285,3164.986697,0.753284143,0.6068415,2.6922095,6761.420427,0.742656219,0.5293755,2.460398,6912.788635,0.68719848,0.596418,2.889077,6531.858764
CMFLIM12 Day3 DR Animal5,3,DR,5,CMFLIM12,0.57857629,0.6183445,2.849626,7290.686427,0.676809623,0.5912185,3.079073,15482.13694,0.716700959,0.6512425,2.5281815,3429.865064,0.744026194,0.663188,3.0018365,8810.941757,0.662292522,0.707257,2.7369975,15442.34357,0.649761073,0.7162505,2.9571715,3392.390289
CMFLIM14 Day3 DR Animal5,3,DR,5,CMFLIM14,0.687953446,0.4235795,2.776492,11444.49339,0.692078829,0.5550605,2.8860895,7795.105797,0.732114217,0.681924,3.087091,5370.45027,0.771656188,0.6547915,2.9459605,5484.74906,0.696262235,0.589368,2.3979025,10357.89645,0.708911724,0.5566525,2.736163,6972.601187
CMFLIM10 Day3 DR Animal6,3,DR,6,CMFLIM10,0.6809384,0.566351,2.7364475,11243.39445,0.711757479,0.567833,2.8345225,7688.660026,0.745637715,0.6022675,2.666658,4900.4814,0.755333084,0.602449,2.806184,6433.195297,0.679665446,0.614906,2.5434685,8610.874433,0.736863465,0.560177,2.7388625,7318.805917
CMFLIM12 Day3 DR Animal6,3,DR,6,CMFLIM12,0.649180444,0.587332,2.9473735,12648.0606,0.574233663,0.636315,3.0778495,17596.76498,0.748230599,0.6404545,2.692863,8152.131417,0.716294303,0.6402595,2.736164,13230.88023,0.701529111,0.6453735,2.518988,16840.36992,0.704713899,0.5678875,2.872451,8334.756262
CMFLIM14 Day3 DR Animal6,3,DR,6,CMFLIM14,0.695233566,0.566216,2.896432,6716.798419,0.659980703,0.6109165,2.994322,6906.116497,0.715860112,0.646041,2.731445,3785.808685,0.709149145,0.694487,2.7815325,4814.749596,0.623240589,0.614234,2.332016,8496.435912,0.67797066,0.5753295,2.8019245,6031.822872
CMFLIM10 Day3 DR Animal7,3,DR,7,CMFLIM10,0.643447818,0.6143365,3.0335925,9856.683079,0.659701314,0.5363685,2.7916775,8812.517607,0.691765373,0.63898,2.7261865,3883.845887,0.754002308,0.618474,2.678551,7161.847022,0.682066194,0.56073,2.394743,10240.75326,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day3 DR Animal7,3,DR,7,CMFLIM12,0.59383109,0.6442025,3.364343,8916.800557,0.622746431,0.6222435,2.9417185,15027.34893,0.780501106,0.5627805,2.694981,6395.471614,0.744035735,0.5601925,2.610451,6512.495879,0.717407616,0.5625315,2.4048615,12081.81115,0.685748884,0.603984,2.981465,6180.948882
CMFLIM14 Day3 DR Animal7,3,DR,7,CMFLIM14,0.735691453,0.631088,3.1150335,3656.253365,0.666429779,0.5754315,2.913835,6649.099934,0.732543667,0.633953,2.860272,4824.539324,0.664896269,0.757044,2.737262,3962.283209,0.673974312,0.632531,2.6753115,5132.096894,0.686735245,0.5698645,2.6953655,4586.3353
CMFLIM10 Day3 DR Animal8,3,DR,8,CMFLIM10,0.6913614,0.5592105,2.7698285,14833.4926,0.696865142,0.603368,3.069294,6767.062594,0.686523679,0.587707,2.568148,7550.158131,0.745476542,0.690133,3.1337965,3916.86691,0.676593027,0.6488095,2.668503,9377.55102,0.733545299,0.6564925,3.1687855,3993.45372
CMFLIM12 Day3 DR Animal8,3,DR,8,CMFLIM12,0.691753427,0.5324555,2.739974,6664.191969,0.681091119,0.537837,2.8980675,9570.565935,0.750843008,0.558451,2.5190115,4450.625351,0.775803389,0.589632,2.8204795,7917.688672,0.690662262,0.539765,2.3519925,10605.53948,0.679404047,0.6955925,3.193623,8386.815656
CMFLIM14 Day3 DR Animal8,3,DR,8,CMFLIM14,0.587807045,0.733325,3.2987005,5878.162908,0.642783137,0.6798175,3.6554265,7894.561528,#N/A,#N/A,#N/A,#N/A,0.704812411,0.595077,2.9047045,5343.819257,0.702144717,0.5844285,2.991803,7892.994226,0.731210894,0.6026085,2.633572,4048.673136
CMFLIM10 Day3 DR Animal9,3,DR,9,CMFLIM10,0.561872326,0.7502795,4.202207,9510.944199,0.597036568,0.6688835,3.3727455,10581.54449,0.68770522,0.5815605,2.8289485,4843.114633,0.729492201,0.577124,2.8399175,5703.806988,0.734571063,0.588429,2.7105015,8058.389745,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day3 DR Animal9,3,DR,9,CMFLIM12,0.676479526,0.5596995,2.8838205,6572.88479,0.721559692,0.5327335,2.7905795,13081.67013,0.723261134,0.588342,2.5317525,4159.376408,0.778638353,0.630116,2.860493,14662.08779,0.662242423,0.632226,2.3826365,13604.46924,0.68840001,0.790195,3.4270695,8533.068615
CMFLIM14 Day3 DR Animal9,3,DR,9,CMFLIM14,0.635838079,0.714784,3.1930835,4631.206189,0.674839186,0.767481,3.3781545,6968.755462,0.669679647,0.6955465,3.2626395,3816.928084,0.755588376,0.6755965,3.022019,3998.41684,0.687979512,0.787629,3.2520175,7750.12148,0.691149554,0.610022,2.8789685,6554.171089
CMFLIM10 Day5 AL Animal10,5,AL,10,CMFLIM10,0.717651049,0.575088,3.1421675,11106.76975,0.692118993,0.5499415,2.9336975,5380.159238,0.751571639,0.5334725,2.683223,8683.379351,0.775744738,0.557596,2.703443,6692.024037,0.746562465,0.5605505,2.5316595,8428.866331,0.706158465,0.5731395,2.978984,4325.578231
CMFLIM12 Day5 AL Animal10,5,AL,10,CMFLIM12,0.707252643,0.5649345,2.8362905,17702.64812,0.687382719,0.5633925,2.9446595,11132.65687,0.747483273,0.589417,2.830944,13524.73202,0.744625713,0.596818,2.777099,10110.96899,0.697676079,0.553906,2.474653,12896.28766,0.650915569,0.7070535,3.039278,7731.484877
CMFLIM12 Day5 AL Animal11,5,AL,11,CMFLIM12,0.698087726,0.561687,2.811216,5655.800898,0.697185706,0.568778,2.8752865,7287.81272,0.765550668,0.5532295,2.656183,5543.469873,0.700934226,0.6319445,2.6998435,8462.108946,0.723355535,0.5525655,2.4969065,12741.09251,0.667218042,0.6699305,3.0973265,3656.232185
CMFLIM10 Day5 AL Animal1,5,AL,1,CMFLIM10,0.708139573,0.5185775,2.9759225,10671.93401,0.668263246,0.53498,3.0469205,5183.117398,0.735922463,0.5196865,2.7074605,10460.19827,0.78530452,0.4847255,2.738635,7082.5941,0.731319073,0.5973535,2.7410115,9668.472792,0.634268417,0.6598535,2.678139,8662.10512
CMFLIM12 Day5 AL Animal1,5,AL,1,CMFLIM12,#N/A,#N/A,#N/A,#N/A,0.644389664,0.6085205,2.8511505,8695.087909,#N/A,#N/A,#N/A,#N/A,0.751784959,0.607417,3.015621,7366.749987,0.711137836,0.5634745,2.571566,15413.14371,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day5 AL Animal2,5,AL,2,CMFLIM10,0.680107536,0.554693,2.7417975,4610.880798,0.712206151,0.4927185,2.775339,7365.054457,0.721453178,0.5679555,2.6728645,2585.57405,0.786596445,0.5489035,2.7965205,9505.765475,0.726158104,0.5605645,2.591507,14412.16806,0.638426733,0.652149,2.8885765,11802.66219
CMFLIM12 Day5 AL Animal2,5,AL,2,CMFLIM12,0.607591461,0.607218,2.9886305,8372.45252,0.60596958,0.5878055,3.029203,15170.2259,0.666256039,0.64844,3.04463,6031.605872,0.727091813,0.6357415,2.820786,14269.6302,0.656034016,0.624272,2.5784245,17166.50456,0.668142542,0.752141,3.2885465,5939.486309
CMFLIM10 Day5 AL Animal3,5,AL,3,CMFLIM10,0.660049504,0.614042,2.7105745,17079.22376,0.678631455,0.578967,2.973523,9411.662725,0.764657091,0.546707,2.574955,14241.81014,0.787974598,0.5215805,2.7072615,9625.2138,0.682740762,0.600564,2.5258545,12859.84284,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day5 AL Animal3,5,AL,3,CMFLIM12,0.65673407,0.562142,2.953596,8099.042315,0.663776431,0.5560755,2.8134525,12292.71701,0.735721393,0.6253245,2.850497,5773.93937,0.753515546,0.555789,2.7319635,9411.906561,0.736787925,0.5602395,2.6387015,11507.7646,0.665691677,0.804892,3.3346105,9486.887375
CMFLIM10 Day5 AL Animal4,5,AL,4,CMFLIM10,0.630855235,0.6030085,2.991516,11674.29318,0.677082646,0.606794,3.220348,3958.505447,0.726364811,0.596361,2.841882,7981.710987,0.788881353,0.5261285,2.786983,3794.735371,0.730330405,0.563291,2.6183715,6848.990996,0.688175593,0.5628695,2.9499315,4820.018408
